Carbon
Timestamp (UTC)	CO2
2025-06-05T17:31:49	24.21
2025-06-05T17:31:56	26.4
2025-06-05T17:32:03	28.56
2025-06-05T17:32:10	25.37
2025-06-05T17:32:17	23.16
2025-06-05T17:32:24	29.47
2025-06-05T17:32:31	21.5
2025-06-05T17:32:38	27.08
2025-06-05T17:32:45	26.96
2025-06-05T17:32:52	24.26
2025-06-05T17:32:59	21.27
2025-06-05T17:33:06	28.97
2025-06-05T17:33:13	27.1
2025-06-05T17:33:20	29.47
2025-06-05T17:33:27	28.75
2025-06-05T17:33:34	26.9
2025-06-05T17:33:41	28.03
2025-06-05T17:33:48	27.69
2025-06-05T17:33:55	23.77
2025-06-05T17:34:02	27.29
2025-06-05T17:34:09	24.84
2025-06-05T17:34:16	27.2
